START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,01:05 PM,01:05 PM,Yankees at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",02/26/14,02/26/14,04:05 PM,04:05 PM,FALSE,TRUE,02/26/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field,"Local TV: MLBN (delay) ----- Local Radio: MLB.com",02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Pirates at Blue Jays,Florida Auto Exchange Stadium,"Local Radio: MLB.com",02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/01/14,01:05 PM,01:05 PM,Rays at Pirates,McKechnie Field,"Local Radio: MLB.com",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Pirates at Phillies,Bright House Field,"Local Radio: KDKA-FM 93.7",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Red Sox at Pirates,McKechnie Field,"Local Radio: MLB.com",03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,01:05 PM,01:05 PM,Pirates at Tigers,Joker Marchant Stadium,"Local Radio: KDKA-FM 93.7",03/04/14,03/04/14,04:05 PM,04:05 PM,FALSE,TRUE,03/04/14,12:05 PM,12:05 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Pirates at Blue Jays,Florida Auto Exchange Stadium,"Local Radio: KDKA-FM 93.7",03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Blue Jays at Pirates,McKechnie Field,"Local Radio: MLB.com",03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,01:05 PM,01:05 PM,Twins at Pirates,McKechnie Field,"Local Radio: MLB.com",03/07/14,03/07/14,04:05 PM,04:05 PM,FALSE,TRUE,03/07/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park,"Local Radio: MLB.com",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium,"Local Radio: KDKA-FM 93.7",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Red Sox at Pirates,McKechnie Field,"Local TV: ROOT SPORTS",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/10/14,01:05 PM,01:05 PM,Orioles at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",03/10/14,03/10/14,04:05 PM,04:05 PM,FALSE,TRUE,03/10/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Pirates at Twins,Hammond Stadium,"Local Radio: MLB.com",03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park,"Local Radio: MLB.com",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Phillies at Pirates,McKechnie Field,"Local Radio: MLB.com",03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,01:05 PM,01:05 PM,Rays at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",03/15/14,03/15/14,04:05 PM,04:05 PM,FALSE,TRUE,03/15/14,12:05 PM,12:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Pirates at Phillies,Bright House Field,"Local TV: MLBN ----- Local Radio: KDKA-FM 93.7",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
03/17/14,01:05 PM,01:05 PM,Yankees at Pirates,McKechnie Field,"Local TV: MLBN (delay) -- ROOT SPORTS",03/17/14,03/17/14,04:05 PM,04:05 PM,FALSE,TRUE,03/17/14,12:05 PM,12:05 PM,FREE,BUSY
03/19/14,07:05 PM,07:05 PM,Pirates at Red Sox,JetBlue Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",03/19/14,03/19/14,10:05 PM,10:05 PM,FALSE,TRUE,03/19/14,06:05 PM,06:05 PM,FREE,BUSY
03/20/14,07:05 PM,07:05 PM,Orioles at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",03/20/14,03/20/14,10:05 PM,10:05 PM,FALSE,TRUE,03/20/14,06:05 PM,06:05 PM,FREE,BUSY
03/21/14,07:05 PM,07:05 PM,Pirates at Yankees,George M. Steinbrenner Field,"Local TV: MLBN -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",03/21/14,03/21/14,10:05 PM,10:05 PM,FALSE,TRUE,03/21/14,06:05 PM,06:05 PM,FREE,BUSY
03/22/14,01:05 PM,01:05 PM,Phillies at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",03/22/14,03/22/14,04:05 PM,04:05 PM,FALSE,TRUE,03/22/14,12:05 PM,12:05 PM,FREE,BUSY
03/23/14,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium,"Local Radio: KDKA-FM 93.7",03/23/14,03/23/14,04:05 PM,04:05 PM,FALSE,TRUE,03/23/14,12:05 PM,12:05 PM,FREE,BUSY
03/24/14,01:05 PM,01:05 PM,Tigers at Pirates,McKechnie Field,"Local TV: ESPN ----- Local Radio: MLB.com",03/24/14,03/24/14,04:05 PM,04:05 PM,FALSE,TRUE,03/24/14,12:05 PM,12:05 PM,FREE,BUSY
03/25/14,01:05 PM,01:05 PM,Blue Jays at Pirates,McKechnie Field,"Local Radio: KDKA-FM 93.7",03/25/14,03/25/14,04:05 PM,04:05 PM,FALSE,TRUE,03/25/14,12:05 PM,12:05 PM,FREE,BUSY
